"id";"notank";"sounding";"gov";"temp";"density";"vcf";"gsv";"wcf";"gsw"
"22";"1p";"10";"532";"30";"20";NULL;NULL;NULL;NULL
"22";"2p";"10";"532";"23";"43";NULL;NULL;NULL;NULL
"22";"1s";"10";"532";"33";"23";NULL;NULL;NULL;NULL
"22";"2s";"20";"532";"33";"54";NULL;NULL;NULL;NULL
"22";"3p";"20";"532";"33";"43";NULL;NULL;NULL;NULL
"22";"3s";"30";"532";"32";"34";NULL;NULL;NULL;NULL
"22";"4p";"30";"532";"12";"32";NULL;NULL;NULL;NULL
"22";"4s";"40";"532";"10";"34";NULL;NULL;NULL;NULL
"22";"5p";"50";"532";"10";"10";NULL;NULL;NULL;NULL
"22";"6p";"10";"532";"32";"12";NULL;NULL;NULL;NULL
"22";"6s";"30";"532";"19";"12";NULL;NULL;NULL;NULL
"22";"7p";"10";"532";"30";"50";NULL;NULL;NULL;NULL
"22";"7s";"20";"532";"30";"23";NULL;NULL;NULL;NULL
"22";"8p";"30";"532";"124";"4";NULL;NULL;NULL;NULL
"22";"8s";"50";"532";"23";"56";NULL;NULL;NULL;NULL
"22";"9p";"10";"532";"23";"21";NULL;NULL;NULL;NULL
"22";"9s";"20";"532";"9";"8";NULL;NULL;NULL;NULL
"22";"10p";"50";"532";"9";"8";NULL;NULL;NULL;NULL
"22";"10s";"50";"532";"3";"2";NULL;NULL;NULL;NULL
"22";"11p";"10";"532";"30";"20";NULL;NULL;NULL;NULL
"22";"12p";"10";"532";"30";"40";NULL;NULL;NULL;NULL
"22";"12s";"20";"532";"30";"40";NULL;NULL;NULL;NULL
"22";"11s";"20";"532";"0";"0";NULL;NULL;NULL;NULL
"22";"13p";"30";"532";"0";"0";NULL;NULL;NULL;NULL
"22";"14p";"50";"532";"32";"345";NULL;NULL;NULL;NULL
"22";"14s";"40";"532";"22";"13";NULL;NULL;NULL;NULL
"22";"15p";"40";"532";"0";"0";NULL;NULL;NULL;NULL
"22";"15s";"40";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"1p";"10";"532";"30";"23";NULL;NULL;NULL;NULL
"23";"1s";"20";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"2p";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"2s";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"3p";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"3p";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"3p";"20";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"4p";"20";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"4s";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"5p";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"5s";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"23";"6p";"30";"532";"0";"0";NULL;NULL;NULL;NULL
"24";"1p";"10";"532";"0";"0";NULL;NULL;NULL;NULL
"24";"1s";"30";"532";"0";"0";NULL;NULL;NULL;NULL
"24";"2p";"50";"1140";"0";"0";NULL;NULL;NULL;NULL
"24";"2s";"40";"836";"0";"0";NULL;NULL;NULL;NULL
